Profile_ID,Point_No,Elevation_m
Profile_West,0,4476.8
Profile_West,1,4470.3
Profile_West,2,4471.1
Profile_West,3,4473.7
Profile_West,4,4478.2
Profile_West,5,4485.1
Profile_West,6,4490.9
Profile_West,7,4497.9
Profile_West,8,4504.6
Profile_West,9,4510.4
Profile_West,10,4515.9
Profile_West,11,4522.7
Profile_West,12,4527.7
Profile_West,13,4532.2
Profile_West,14,4535.7
Profile_West,15,4535.9
Profile_Center,0,4500.9
Profile_Center,1,4511.7
Profile_Center,2,4526.6
Profile_Center,3,4544.0
Profile_Center,4,4561.5
Profile_Center,5,4568.4
Profile_Center,6,4568.9
Profile_Center,7,4567.0
Profile_Center,8,4559.2
Profile_Center,9,4552.0
Profile_Center,10,4548.6
Profile_Center,11,4547.7
Profile_Center,12,4547.1
Profile_Center,13,4547.0
Profile_Center,14,4546.6
Profile_Center,15,4546.3
Profile_East,0,4512.6
Profile_East,1,4518.1
Profile_East,2,4524.2
Profile_East,3,4530.3
Profile_East,4,4542.5
Profile_East,5,4555.3
Profile_East,6,4564.2
Profile_East,7,4562.3
Profile_East,8,4554.3
Profile_East,9,4550.5
Profile_East,10,4548.9
Profile_East,11,4549.2
Profile_East,12,4549.9
Profile_East,13,4549.7
Profile_East,14,4549.7
Profile_East,15,4551.5
