PGA_g,Dn_cm,Status
0.05,38.41,SEVERE
0.1,117.28,⚠ BREACH LIKELY
0.15,218.37,⚠ BREACH LIKELY
0.2,336.61,⚠ BREACH LIKELY
0.25,469.26,⚠ BREACH LIKELY
0.3,614.54,⚠ BREACH LIKELY
0.35,771.18,⚠ BREACH LIKELY
0.4,938.19,⚠ BREACH LIKELY
0.45,1114.81,⚠ BREACH LIKELY
0.5,1300.42,⚠ BREACH LIKELY
0.55,1494.49,⚠ BREACH LIKELY
0.6,1696.56,⚠ BREACH LIKELY
0.65,1906.25,⚠ BREACH LIKELY
0.7,2123.22,⚠ BREACH LIKELY
0.75,2347.17,⚠ BREACH LIKELY
0.8,2577.83,⚠ BREACH LIKELY
0.85,2814.96,⚠ BREACH LIKELY
0.9,3058.34,⚠ BREACH LIKELY
0.95,3307.77,⚠ BREACH LIKELY
1.0,3563.07,⚠ BREACH LIKELY
