# HEC-RAS 2D Boundary Condition — Inflow Hydrograph
# Project: Tsho Rolpa GLOF Risk Assessment
# Scenario: S3_Cascade_Failure
# Generated: Python — Froehlich (1995) equations
# Units: Time = minutes, Flow = m3/s
# Breach location: 86.4639E 27.8714N
#
# Time(min)    Flow(m3/s)
#
         0.0            0.00
        30.0        24356.57
        60.0          551.92
        90.0           12.51
       120.0            0.28
       150.0            0.01
       180.0            0.00
       210.0            0.00
       240.0            0.00
       270.0            0.00
       300.0            0.00
       330.0            0.00
       360.0            0.00
       390.0            0.00
       420.0            0.00
       450.0            0.00
       480.0            0.00
       510.0            0.00
       540.0            0.00
       570.0            0.00
       600.0            0.00
       630.0            0.00
       660.0            0.00
       690.0            0.00
       720.0            0.00
       750.0            0.00
       780.0            0.00
       810.0            0.00
       840.0            0.00
       870.0            0.00
       900.0            0.00
       930.0            0.00
       960.0            0.00
       990.0            0.00
      1020.0            0.00
      1050.0            0.00
      1080.0            0.00
      1110.0            0.00
      1140.0            0.00
      1170.0            0.00
      1200.0            0.00
      1230.0            0.00
      1260.0            0.00
      1290.0            0.00
      1320.0            0.00
      1350.0            0.00
      1380.0            0.00
      1410.0            0.00
      1440.0            0.00
      1470.0            0.00
      1500.0            0.00
      1530.0            0.00
      1560.0            0.00
      1590.0            0.00
      1620.0            0.00
      1650.0            0.00
      1680.0            0.00
      1710.0            0.00
      1740.0            0.00
      1770.0            0.00
      1800.0            0.00
      1830.0            0.00
      1860.0            0.00
      1890.0            0.00
      1920.0            0.00
      1950.0            0.00
      1980.0            0.00
      2010.0            0.00
      2040.0            0.00
      2070.0            0.00
      2100.0            0.00
      2130.0            0.00
      2160.0            0.00
      2190.0            0.00
      2220.0            0.00
      2250.0            0.00
      2280.0            0.00
      2310.0            0.00
      2340.0            0.00
      2370.0            0.00
      2400.0            0.00
      2430.0            0.00
      2460.0            0.00
      2490.0            0.00
      2520.0            0.00
      2550.0            0.00
      2580.0            0.00
      2610.0            0.00
      2640.0            0.00
      2670.0            0.00
      2700.0            0.00
      2730.0            0.00
      2760.0            0.00
      2790.0            0.00
      2820.0            0.00
      2850.0            0.00
      2880.0            0.00
